model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
0,dt_d4_s40_l20_w0.2.pkl,4,40,20,0.2,0.8966066741657293,0.57309766327142,0.6992470209810658,0.8482378601767879,0.6000974579712499,0.7029109589041096
1,dt_d4_s40_l20_w0.3.pkl,4,40,20,0.3,0.8815935371455726,0.6669263031755542,0.7593805430481648,0.8367043426531826,0.6853731828149111,0.7535157819545515
2,dt_d4_s40_l20_w0.4.pkl,4,40,20,0.4,0.8687890926980111,0.7406830437387657,0.799637763187684,0.823654768247203,0.7533501177617152,0.7869353128313892
3,dt_d4_s40_l20_w0.5.pkl,4,40,20,0.5,0.8340132145935076,0.869742360695027,0.8515031529549787,0.7793118248801774,0.8847559489969951,0.828693138597292
4,dt_d4_s40_l20_w0.6.pkl,4,40,20,0.6,0.8292956797574601,0.8850209706411024,0.85625262669739,0.7722772277227723,0.899537074636563,0.8310635903207654
5,dt_d4_s40_l20_w0.7.pkl,4,40,20,0.7,0.830347823633953,0.8818154583582983,0.8553080823490099,0.7733258615858783,0.8966133354990661,0.8304185941554778
6,dt_d4_s40_l20_w0.8.pkl,4,40,20,0.8,0.8276362418729246,0.8885560215698023,0.857014895184709,0.7702469050418425,0.9044911881750994,0.8319886448528313
7,dt_d4_s40_l20_w0.9.pkl,4,40,20,0.9,0.7981770184788564,0.9601557819053326,0.8717056055702124,0.7425568074526342,0.9580930723625437,0.8366666666666667
8,dt_d4_s40_l20_w1.0.pkl,4,40,20,1.0,0.7910440484606196,0.9721689634511683,0.8723035361477359,0.73560531496063,0.9711686835052383,0.8371311561482726
9,dt_d4_s40_l30_w0.2.pkl,4,40,30,0.2,0.8966066741657293,0.57309766327142,0.6992470209810658,0.8482378601767879,0.6000974579712499,0.7029109589041096
10,dt_d4_s40_l30_w0.3.pkl,4,40,30,0.3,0.8815935371455726,0.6669263031755542,0.7593805430481648,0.8367043426531826,0.6853731828149111,0.7535157819545515
11,dt_d4_s40_l30_w0.4.pkl,4,40,30,0.4,0.8687890926980111,0.7406830437387657,0.799637763187684,0.823654768247203,0.7533501177617152,0.7869353128313892
12,dt_d4_s40_l30_w0.5.pkl,4,40,30,0.5,0.8340132145935076,0.869742360695027,0.8515031529549787,0.7793118248801774,0.8847559489969951,0.828693138597292
13,dt_d4_s40_l30_w0.6.pkl,4,40,30,0.6,0.8293532617856942,0.8843618933493109,0.8559747151100414,0.7724224643755239,0.8980752050678145,0.8305231138983815
14,dt_d4_s40_l30_w0.7.pkl,4,40,30,0.7,0.8304438671786764,0.8810964649490713,0.8550206407349265,0.7735120718697361,0.895070250954276,0.8298633334588306
15,dt_d4_s40_l30_w0.8.pkl,4,40,30,0.8,0.8273188688716604,0.888735769922109,0.8569282763800226,0.7699910152740341,0.9048160480792659,0.8319767007691733
16,dt_d4_s40_l30_w0.9.pkl,4,40,30,0.9,0.7979091474797759,0.9603355302576393,0.8716198762830535,0.7423413222620621,0.95841793226671,0.8366536689117334
17,dt_d4_s40_l30_w1.0.pkl,4,40,30,1.0,0.790785498489426,0.9723487118034752,0.8722186391486617,0.7353989917619574,0.9714935434094047,0.8371181636866231
18,dt_d4_s40_l40_w0.2.pkl,4,40,40,0.2,0.8968190574637034,0.5718094667465549,0.6983517187128405,0.8483733762501436,0.5993665231868757,0.7024557395773844
19,dt_d4_s40_l40_w0.3.pkl,4,40,40,0.3,0.8815935371455726,0.6669263031755542,0.7593805430481648,0.8367043426531826,0.6853731828149111,0.7535157819545515
20,dt_d4_s40_l40_w0.4.pkl,4,40,40,0.4,0.8687913324890952,0.7399041342121031,0.7991845715764949,0.8238954573739888,0.7527003979533826,0.7866904337492573
21,dt_d4_s40_l40_w0.5.pkl,4,40,40,0.5,0.8339467479441026,0.8688735769922109,0.8510519674873089,0.7791947270382577,0.8832940794282466,0.8279852308629287
22,dt_d4_s40_l40_w0.6.pkl,4,40,40,0.6,0.8293451058684588,0.8835829838226483,0.8556053551484559,0.7725111856823266,0.8974254852594818,0.8302964270954653
23,dt_d4_s40_l40_w0.7.pkl,4,40,40,0.7,0.8304438671786764,0.8810964649490713,0.8550206407349265,0.7735120718697361,0.895070250954276,0.8298633334588306
24,dt_d4_s40_l40_w0.8.pkl,4,40,40,0.8,0.8273188688716604,0.888735769922109,0.8569282763800226,0.7699910152740341,0.9048160480792659,0.8319767007691733
25,dt_d4_s40_l40_w0.9.pkl,4,40,40,0.9,0.7979091474797759,0.9603355302576393,0.8716198762830535,0.7423413222620621,0.95841793226671,0.8366536689117334
26,dt_d4_s40_l40_w1.0.pkl,4,40,40,1.0,0.790785498489426,0.9723487118034752,0.8722186391486617,0.7353989917619574,0.9714935434094047,0.8371181636866231
27,dt_d4_s40_l50_w0.2.pkl,4,40,50,0.2,0.8968045112781955,0.5717195925704014,0.698280278082693,0.8483733762501436,0.5993665231868757,0.7024557395773844
28,dt_d4_s40_l50_w0.3.pkl,4,40,50,0.3,0.8815935371455726,0.6669263031755542,0.7593805430481648,0.8367043426531826,0.6853731828149111,0.7535157819545515
29,dt_d4_s40_l50_w0.4.pkl,4,40,50,0.4,0.8687913324890952,0.7399041342121031,0.7991845715764949,0.8238954573739888,0.7527003979533826,0.7866904337492573
30,dt_d4_s40_l50_w0.5.pkl,4,40,50,0.5,0.8339467479441026,0.8688735769922109,0.8510519674873089,0.7791947270382577,0.8832940794282466,0.8279852308629287
31,dt_d4_s40_l50_w0.6.pkl,4,40,50,0.6,0.8293451058684588,0.8835829838226483,0.8556053551484559,0.7725111856823266,0.8974254852594818,0.8302964270954653
