model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
0,dt_NOF_RFC_d4_s40_l20_w0.2.pkl,4,40,20,0.2,0.9416659005240415,0.8045322441285052,0.8677143341240258,0.9223968565815324,0.7796844727373374,0.8450577471126444
1,dt_NOF_RFC_d4_s40_l20_w0.3.pkl,4,40,20,0.3,0.9415584415584416,0.8086560364464692,0.8700612719205578,0.9224137931034483,0.7848048712980902,0.84806340660984
2,dt_NOF_RFC_d4_s40_l20_w0.4.pkl,4,40,20,0.4,0.9296753583146261,0.8457701673081455,0.8857401390202773,0.9149680559780955,0.8324107389980625,0.8717391304347826
3,dt_NOF_RFC_d4_s40_l20_w0.5.pkl,4,40,20,0.5,0.9276825043835265,0.8519362186788155,0.8881973589927321,0.914630467571644,0.8391918073623028,0.8752886836027713
4,dt_NOF_RFC_d4_s40_l20_w0.6.pkl,4,40,20,0.6,0.8981646844245165,0.92832456209253,0.9129956159833137,0.8908732764281024,0.9388319955715472,0.9142241088875412
5,dt_NOF_RFC_d4_s40_l20_w0.7.pkl,4,40,20,0.7,0.8958898944193062,0.9331160160238787,0.9141241198876534,0.8881219067465486,0.9436756158317188,0.9150563607085346
6,dt_NOF_RFC_d4_s40_l20_w0.8.pkl,4,40,20,0.8,0.8958898944193062,0.9331160160238787,0.9141241198876534,0.8881219067465486,0.9436756158317188,0.9150563607085346
7,dt_NOF_RFC_d4_s40_l20_w0.9.pkl,4,40,20,0.9,0.8872898156986563,0.9491791689576624,0.91719165085389,0.8770460601446517,0.9565458068087462,0.9150724829549216
8,dt_NOF_RFC_d4_s40_l20_w1.0.pkl,4,40,20,1.0,0.8772733731173629,0.9699552273976907,0.9212892155034133,0.868828297715549,0.9789648491558262,0.9206142634044768
9,dt_NOF_RFC_d4_s40_l30_w0.2.pkl,4,40,30,0.2,0.9416659005240415,0.8045322441285052,0.8677143341240258,0.9223968565815324,0.7796844727373374,0.8450577471126444
10,dt_NOF_RFC_d4_s40_l30_w0.3.pkl,4,40,30,0.3,0.9415584415584416,0.8086560364464692,0.8700612719205578,0.9224137931034483,0.7848048712980902,0.84806340660984
11,dt_NOF_RFC_d4_s40_l30_w0.4.pkl,4,40,30,0.4,0.9296753583146261,0.8457701673081455,0.8857401390202773,0.9149680559780955,0.8324107389980625,0.8717391304347826
12,dt_NOF_RFC_d4_s40_l30_w0.5.pkl,4,40,30,0.5,0.9279445134221005,0.8512292828528788,0.8879329769147258,0.915282392026578,0.8387766399114309,0.8753610629693819
13,dt_NOF_RFC_d4_s40_l30_w0.6.pkl,4,40,30,0.6,0.898402434385698,0.9276176262665934,0.9127763178234658,0.891415801235704,0.9384168281206753,0.9143126811838468
14,dt_NOF_RFC_d4_s40_l30_w0.7.pkl,4,40,30,0.7,0.8957885608716962,0.9331160160238787,0.9140713667404059,0.888006250813908,0.9436756158317188,0.9149949681314995
15,dt_NOF_RFC_d4_s40_l30_w0.8.pkl,4,40,30,0.8,0.8957885608716962,0.9331160160238787,0.9140713667404059,0.888006250813908,0.9436756158317188,0.9149949681314995
16,dt_NOF_RFC_d4_s40_l30_w0.9.pkl,4,40,30,0.9,0.8871921001431665,0.9491791689576624,0.917139441777508,0.8769347881248414,0.9565458068087462,0.9150119142176331
17,dt_NOF_RFC_d4_s40_l30_w1.0.pkl,4,40,30,1.0,0.8771798969987569,0.9699552273976907,0.9212376671578044,0.8687216013754144,0.9789648491558262,0.9205543626781183
18,dt_NOF_RFC_d4_s40_l40_w0.2.pkl,4,40,40,0.2,0.9416659005240415,0.8045322441285052,0.8677143341240258,0.9223968565815324,0.7796844727373374,0.8450577471126444
19,dt_NOF_RFC_d4_s40_l40_w0.3.pkl,4,40,40,0.3,0.9415584415584416,0.8086560364464692,0.8700612719205578,0.9224137931034483,0.7848048712980902,0.84806340660984
20,dt_NOF_RFC_d4_s40_l40_w0.4.pkl,4,40,40,0.4,0.930989526748077,0.8413714555023172,0.8839147566686609,0.9160410602114294,0.8274287295876004,0.8694830218861339
21,dt_NOF_RFC_d4_s40_l40_w0.5.pkl,4,40,40,0.5,0.9279445134221005,0.8512292828528788,0.8879329769147258,0.915282392026578,0.8387766399114309,0.8753610629693819
22,dt_NOF_RFC_d4_s40_l40_w0.6.pkl,4,40,40,0.6,0.898402434385698,0.9276176262665934,0.9127763178234658,0.891415801235704,0.9384168281206753,0.9143126811838468
23,dt_NOF_RFC_d4_s40_l40_w0.7.pkl,4,40,40,0.7,0.896209318130333,0.9322519833477338,0.9138754138754138,0.8887584767866458,0.9431220592305564,0.9151336108500067
24,dt_NOF_RFC_d4_s40_l40_w0.8.pkl,4,40,40,0.8,0.896209318130333,0.9322519833477338,0.9138754138754138,0.8887584767866458,0.9431220592305564,0.9151336108500067
25,dt_NOF_RFC_d4_s40_l40_w0.9.pkl,4,40,40,0.9,0.887033434873564,0.9492184431702144,0.9170729856381263,0.8768879299403478,0.9561306393578743,0.9147964250248262
26,dt_NOF_RFC_d4_s40_l40_w1.0.pkl,4,40,40,1.0,0.8769525702925305,0.9701515984604508,0.921200820436323,0.8685826578236305,0.9786880708552449,0.9203539823008849
27,dt_NOF_RFC_d4_s40_l50_w0.2.pkl,4,40,50,0.2,0.9416659005240415,0.8045322441285052,0.8677143341240258,0.9223968565815324,0.7796844727373374,0.8450577471126444
28,dt_NOF_RFC_d4_s40_l50_w0.3.pkl,4,40,50,0.3,0.9415584415584416,0.8086560364464692,0.8700612719205578,0.9224137931034483,0.7848048712980902,0.84806340660984
29,dt_NOF_RFC_d4_s40_l50_w0.4.pkl,4,40,50,0.4,0.930989526748077,0.8413714555023172,0.8839147566686609,0.9160410602114294,0.8274287295876004,0.8694830218861339
30,dt_NOF_RFC_d4_s40_l50_w0.5.pkl,4,40,50,0.5,0.9279445134221005,0.8512292828528788,0.8879329769147258,0.915282392026578,0.8387766399114309,0.8753610629693819
31,dt_NOF_RFC_d4_s40_l50_w0.6.pkl,4,40,50,0.6,0.8974368710841086,0.928206739454874,0.9125625036199008,0.8907993174957344,0.9392471630224191,0.9143819467834288
32,dt_NOF_RFC_d4_s40_l50_w0.7.pkl,4,40,50,0.7,0.8963472216975786,0.9319377896473175,0.913796091267931,0.8888308977035491,0.9427068917796845,0.9149764942914708
33,dt_NOF_RFC_d4_s40_l50_w0.8.pkl,4,40,50,0.8,0.8963472216975786,0.9319377896473175,0.913796091267931,0.8888308977035491,0.9427068917796845,0.9149764942914708
