seed,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,n_train,n_test
0,0.8623720270908805,0.8034749941300775,0.8318823404287646,0.874241972363058,0.7567334996988211,0.8112546125461254,48415,15229
1,0.8602557577299911,0.7829473074696005,0.819782951376258,0.8802831350020517,0.769389401954631,0.8211090378450792,48429,15215
2,0.8822579559981161,0.7788667141838916,0.8273447111896274,0.7951960550385747,0.8317111721154646,0.8130438318289014,44516,19128
3,0.8672854814709842,0.7326489689641756,0.7943023086033193,0.9026889903602232,0.7244299674267101,0.8037948949627287,47025,16619
4,0.871202366452062,0.7546271176222343,0.8087354019609426,0.8642018573681444,0.787922358015816,0.8243011741110601,45675,17969
5,0.8734304706909286,0.7518423258099008,0.8080883380701672,0.8612821057100404,0.7317403065825068,0.7912441497659907,47937,15707
6,0.8317282283164015,0.8583939393939394,0.8448507262369889,0.8888317917094896,0.8176160088237612,0.8517378636792646,47652,15992
7,0.8835135321258867,0.727048622917375,0.797680853048155,0.8502793296089386,0.7316604172675705,0.7865226603276316,48085,15559
8,0.8709505576827035,0.7326630069460004,0.7958441716484888,0.887972841901067,0.7332065271798979,0.8032022810769315,49261,14383
9,0.8945367010884734,0.7267239180341808,0.8019453610020798,0.8192413413963716,0.7157540826128722,0.7640092284029736,48502,15142
