max_bins,interactions,outer_bags,learning_rate,min_samples_leaf,max_leaves,random_state,threshold,train_precision,train_recall,train_f1,train_auc,test_precision,test_recall,test_f1,test_auc
128,0,8,0.01,2,3,42,0.3,0.7992233105768279,0.9852716960419589,0.8825489606948731,0.8561091390076317,0.7626804650568545,0.98506600660066,0.8597249225894722,0.8595186699845068
128,0,8,0.01,2,3,42,0.4,0.8215919960704222,0.9690797097029944,0.8892619797131864,0.8561091390076317,0.7845115595349459,0.9687293729372938,0.8669423318319427,0.8595186699845068
128,0,8,0.01,2,3,42,0.5,0.8446559457389782,0.9417576385924255,0.8905677787710141,0.8561091390076317,0.8096417952711312,0.9436468646864686,0.8715232797378648,0.8595186699845068
128,0,8,0.01,2,3,42,0.6,0.872496582872764,0.8953772031469172,0.8837888273537202,0.8561091390076317,0.8392364305427783,0.9032178217821782,0.8700524558893658,0.8595186699845068
128,0,8,0.01,2,3,42,0.7,0.9028214214080363,0.8235347929499298,0.8613574025642661,0.8561091390076317,0.8686981083625781,0.8373762376237623,0.852749653405033,0.8595186699845068
128,0,8,0.01,2,3,42,0.8,0.9348187158193235,0.7036653046288955,0.8029367247168531,0.8561091390076317,0.9100185528756958,0.7284653465346534,0.8091833929062414,0.8595186699845068
128,10,8,0.01,2,3,42,0.3,0.8054447546868767,0.9851802158931512,0.8862919375634378,0.864471163556018,0.7735530755255645,0.9836633663366336,0.8660467819264855,0.8685030710773967
128,10,8,0.01,2,3,42,0.4,0.8282643852052793,0.968286881746661,0.8928189844233256,0.864471163556018,0.797236591342227,0.9664191419141914,0.8737132627181858,0.8685030710773967
128,10,8,0.01,2,3,42,0.5,0.8517238519173879,0.939379154723425,0.8934066093412409,0.864471163556018,0.8218713956170703,0.9406765676567657,0.8772699292089874,0.8685030710773967
128,10,8,0.01,2,3,42,0.6,0.8786281264040737,0.8944624016588401,0.8864745614167636,0.864471163556018,0.8514325864626434,0.8998349834983498,0.8749649003169,0.8685030710773967
128,10,8,0.01,2,3,42,0.7,0.9068701268279624,0.8263706775629688,0.8647510250969255,0.864471163556018,0.8793865349623083,0.8373762376237623,0.8578673766958286,0.8685030710773967
128,10,8,0.01,2,3,42,0.8,0.935249500998004,0.7143989754223333,0.8100407993914667,0.864471163556018,0.9126552396592426,0.7336633663366336,0.8134290810959155,0.8685030710773967
128,20,8,0.01,2,3,42,0.3,0.8081705150976909,0.9850887357443435,0.8879024832685146,0.8707492148935123,0.7746680551939599,0.982013201320132,0.8661039150050939,0.8706246469606678
128,20,8,0.01,2,3,42,0.4,0.8314680365895212,0.967341586875648,0.8942731898459413,0.8707492148935123,0.8004513437735075,0.9657590759075908,0.8753692555061138,0.8706246469606678
128,20,8,0.01,2,3,42,0.5,0.8565905487720079,0.9391047142770019,0.8959518233522917,0.8707492148935123,0.826273341567972,0.9382838283828383,0.8787234864582931,0.8706246469606678
128,20,8,0.01,2,3,42,0.6,0.8831141472809895,0.8948283222540708,0.8889326446844281,0.8707492148935123,0.8531627687961073,0.8969471947194719,0.8745072801866302,0.8706246469606678
128,20,8,0.01,2,3,42,0.7,0.9110566430514052,0.8274074525827896,0.8672195854707001,0.8707492148935123,0.8833013770263204,0.8362211221122112,0.8591167245909977,0.8706246469606678
128,20,8,0.01,2,3,42,0.8,0.9387730697173835,0.7181496615234494,0.8137730861595343,0.8707492148935123,0.913946587537092,0.736963696369637,0.8159685744301831,0.8706246469606678
128,50,8,0.01,2,3,42,0.3,0.8110963338435673,0.9856376166371897,0.8898891871429555,0.8797423134733813,0.7747378020975833,0.9812706270627063,0.8658585417349205,0.8727641869119118
128,50,8,0.01,2,3,42,0.4,0.8360470315911303,0.9692016832347381,0.8977136320628151,0.8797423134733813,0.8021713735999451,0.9632013201320132,0.8753421062497657,0.8727641869119118
128,50,8,0.01,2,3,42,0.5,0.8619362396452179,0.9423370128682076,0.9003452445117777,0.8797423134733813,0.8294522554188635,0.9345709570957096,0.8788795779019243,0.8727641869119118
128,50,8,0.01,2,3,42,0.6,0.8881817084942085,0.8978776605476612,0.8930033663906833,0.8797423134733813,0.8568036095939207,0.8930693069306931,0.8745606593140225,0.8727641869119118
128,50,8,0.01,2,3,42,0.7,0.9153665097511768,0.8301213636640848,0.8706623596763361,0.8797423134733813,0.8873636043646603,0.832013201320132,0.85879747913473,0.8727641869119118
128,50,8,0.01,2,3,42,0.8,0.9432333518975257,0.7230286027931939,0.8185804046123041,0.8797423134733813,0.9155363748458692,0.7351485148514851,0.8154859967051071,0.8727641869119118
256,0,8,0.01,2,3,42,0.3,0.8038010895793428,0.9853021894248948,0.8853451700848026,0.8707362508529397,0.7657975854097098,0.9839108910891089,0.8612595695507728,0.8664605338505947
256,0,8,0.01,2,3,42,0.4,0.826519739064896,0.9697505641275843,0.8924246888636331,0.8707362508529397,0.7904171440123997,0.9677392739273928,0.8701361326458696,0.8664605338505947
256,0,8,0.01,2,3,42,0.5,0.8520026408450704,0.9444410562907849,0.895843577358054,0.8707362508529397,0.8164914539083172,0.941996699669967,0.8747653526414588,0.8664605338505947
256,0,8,0.01,2,3,42,0.6,0.8807913476149332,0.9014453863511618,0.8909986889099869,0.8707362508529397,0.8438151091905239,0.9022277227722773,0.8720443398859604,0.8664605338505947
256,0,8,0.01,2,3,42,0.7,0.9109536383995721,0.8310361651521619,0.8691617100668144,0.8707362508529397,0.8766675273259317,0.8404290429042904,0.8581658873583554,0.8664605338505947
256,0,8,0.01,2,3,42,0.8,0.9411010497636029,0.7162285783984875,0.8134090594265133,0.8707362508529397,0.9132799671592775,0.7342409240924093,0.8140321990486644,0.8664605338505947
256,10,8,0.01,2,3,42,0.3,0.8092888098399259,0.9851192291272793,0.8885893856669371,0.8776142011423336,0.7761194029850746,0.9825082508250825,0.8672031460510505,0.8747280908086879
256,10,8,0.01,2,3,42,0.4,0.8334251029130286,0.9692626700006098,0.8962260160996998,0.8776142011423336,0.8010130741323841,0.9655115511551156,0.8756032773392196,0.8747280908086879
256,10,8,0.01,2,3,42,0.5,0.8584764127354559,0.9422455327193999,0.8984125138105483,0.8776142011423336,0.8275937227550131,0.9398514851485148,0.8801576263328698,0.8747280908086879
256,10,8,0.01,2,3,42,0.6,0.8856740225473735,0.900744038543636,0.8931454660901642,0.8776142011423336,0.8562106918238994,0.8985973597359735,0.8768921095008052,0.8747280908086879
256,10,8,0.01,2,3,42,0.7,0.9132510013351135,0.8343294505092395,0.8720081588424642,0.8776142011423336,0.8852544584602001,0.8396039603960396,0.8618251111581622,0.8747280908086879
256,10,8,0.01,2,3,42,0.8,0.9423791821561338,0.7266268219796305,0.8205578512396694,0.8776142011423336,0.9179691490448463,0.7414191419141914,0.82030215893012,0.8747280908086879
256,20,8,0.01,2,3,42,0.3,0.8126556173134478,0.9853021894248948,0.890689821514713,0.883262701199298,0.7763278089521075,0.9816831683168317,0.8670115863878161,0.8770731636928676
256,20,8,0.01,2,3,42,0.4,0.8366040618496957,0.9684698420442764,0.8977203668894951,0.883262701199298,0.8039876246132691,0.9648514851485148,0.8771048190511908,0.8770731636928676
256,20,8,0.01,2,3,42,0.5,0.8636160589647663,0.9432518143562847,0.9016790065877689,0.883262701199298,0.8297265682117269,0.9363861386138614,0.879835646174122,0.8770731636928676
256,20,8,0.01,2,3,42,0.6,0.8908130939809926,0.9003476245654692,0.8955549826354661,0.883262701199298,0.8597908745247148,0.8955445544554456,0.8773035887487876,0.8770731636928676
256,20,8,0.01,2,3,42,0.7,0.9181650761761259,0.8361590534853937,0.8752453757640563,0.883262701199298,0.8883342091434577,0.8368811881188118,0.861840428243691,0.8770731636928676
256,20,8,0.01,2,3,42,0.8,0.9435375759009542,0.7297066536561566,0.8229589380287503,0.883262701199298,0.9181651001225991,0.7415016501650165,0.820430892824539,0.8770731636928676
256,50,8,0.01,2,3,42,0.3,0.8155134153722009,0.9861560041471,0.8927536231884058,0.8926783425110851,0.7775376555337262,0.9796204620462046,0.8669587440671778,0.8778741860234363
256,50,8,0.01,2,3,42,0.4,0.8414792101715525,0.9707263523815332,0.9014938053097346,0.8926783425110851,0.8067977294752873,0.9616336633663366,0.8774373259052924,0.8778741860234363
256,50,8,0.01,2,3,42,0.5,0.8688648588077096,0.9457522717570287,0.9056796612644181,0.8926783425110851,0.8333456180437827,0.9328382838283829,0.8802896406742711,0.8778741860234363
256,50,8,0.01,2,3,42,0.6,0.896362866134108,0.9033054827102519,0.8998207830867835,0.8926783425110851,0.8621623774998008,0.8928217821782178,0.877224271411779,0.8778741860234363
256,50,8,0.01,2,3,42,0.7,0.9232317134520576,0.8394218454595352,0.8793343022791522,0.8926783425110851,0.8918942809157606,0.8325082508250825,0.8611786796398242,0.8778741860234363
256,50,8,0.01,2,3,42,0.8,0.9486340521149524,0.7337927669695676,0.8274960884441465,0.8926783425110851,0.9195011337868481,0.736056105610561,0.817615250664467,0.8778741860234363
512,0,8,0.01,2,3,42,0.3,0.8050267512753515,0.9864609379764591,0.8865564066375259,0.876596398537,0.7677099433281813,0.9835808580858085,0.8623408564814815,0.867377171495888
512,0,8,0.01,2,3,42,0.4,0.8287051482059282,0.9718851009330975,0.8946024082858506,0.876596398537,0.7910619050833727,0.9668316831683168,0.8701592841495563,0.867377171495888
512,0,8,0.01,2,3,42,0.5,0.8550293412678733,0.9463621394157468,0.8983803968678988,0.876596398537,0.8159456560600643,0.9415016501650165,0.8742386515993105,0.867377171495888
512,0,8,0.01,2,3,42,0.6,0.8844773977517341,0.9021162407757517,0.8932097460825458,0.876596398537,0.8462611390933746,0.901072607260726,0.8728071928071928,0.867377171495888
512,0,8,0.01,2,3,42,0.7,0.9142341257899489,0.8337500762334573,0.8721392003317332,0.876596398537,0.878813997586623,0.8412541254125413,0.8596239777421802,0.867377171495888
512,0,8,0.01,2,3,42,0.8,0.9441360859321967,0.7209855461364884,0.8176081055379775,0.876596398537,0.9145176204664544,0.7344059405940594,0.8146249942799616,0.867377171495888
512,10,8,0.01,2,3,42,0.3,0.8106746220762616,0.9860645239982924,0.889809171333049,0.8835223095792704,0.776227423876899,0.9822607260726073,0.8671741268164767,0.875666275607714
512,10,8,0.01,2,3,42,0.4,0.8357167222061872,0.9712142465085076,0.8983851632465976,0.8835223095792704,0.8016857397382307,0.9652640264026403,0.8759031183318984,0.875666275607714
512,10,8,0.01,2,3,42,0.5,0.861657440120177,0.9445020430566567,0.9011797908089786,0.8835223095792704,0.8279828201208416,0.9384488448844884,0.8797617666395947,0.875666275607714
512,10,8,0.01,2,3,42,0.6,0.8886386837206509,0.9025126547539184,0.8955219364599092,0.8835223095792704,0.8588448792804166,0.898102310231023,0.8780350084697911,0.875666275607714
