feature,importance
trace_kurtosis,0.3489551479248107
snr_recon,0.3431137753140312
r2_score,0.3418862070649461
trace_skewness,0.32274017952854545
event_r2_score,0.2500100819452245
nn_distance_center,0.20763578877764158
local_density,0.19029088187431004
area,0.16738464785261434
t_rise,0.15875583629002565
tau_decay,0.14511391827552692
local_density & snr_recon,0.12657823124465994
local_density & trace_kurtosis,0.11006977357606175
t_off,0.09985644980563102
ellipse_r,0.09641166956743095
nmae,0.09535614821226632
baseline,0.091164311654057
local_density & peak_amplitude_cv,0.08728860212312199
footprint_compactness,0.0858229542269425
area & snr_recon,0.08356735817722644
noise_level,0.08224395651778833
events_per_min,0.08209304869173403
circularity,0.07657155114828783
events_fraction,0.06854603932956238
edge_distance,0.06646065412926247
caiman_snr,0.06277925290315498
peak_amplitude_cv,0.06277767377773635
t_rise & trace_kurtosis,0.06167755012932783
local_density & trace_skewness,0.05508215583992738
t_rise & trace_skewness,0.0533108093790146
aspect_ratio,0.04932130352939924
wavelet_snr,0.04796306799979981
caiman_r_score,0.040497758224503626
footprint_compactness & trace_skewness,0.039528517926811876
circularity & noise_level,0.03932581378564826
nrmse,0.03529964137040241
aspect_ratio & tau_decay,0.03470249128212297
footprint_compactness & noise_level,0.03344291781034077
eccentricity,0.029380613365731768
ellipse_r & footprint_compactness,0.02329442582423242
circularity & ellipse_r,0.021982027180853143
aspect_ratio & noise_level,0.017818550836369903
aspect_ratio & ellipse_r,0.01522682347257845
circularity & tau_decay,0.013449865506405272
footprint_compactness & tau_decay,0.009031430815822708
