seed,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,n_train,n_test
0,0.8452734330403014,0.8791486077302143,0.8618782922499345,0.8421231422505308,0.8831492696829355,0.8621484154240752,45252,15084
1,0.844924516994378,0.8789372124090842,0.8615953205482642,0.8453811813186813,0.876925817080773,0.8608646238580233,45252,15084
2,0.8449406798996122,0.8795048388054385,0.8618763636363637,0.8444310966191866,0.8764695404346278,0.8601520846079889,45252,15084
3,0.8448369487553231,0.8775158819687704,0.8608663997087732,0.8466021081497986,0.8798539365871036,0.8629078045158755,45252,15084
4,0.846541024394429,0.8787330048091195,0.8623366786593448,0.8429432013769363,0.8723726398289989,0.8574054621848739,45252,15084
5,0.8447819026183082,0.8802434317945673,0.862148173993952,0.845203363651965,0.8771929824561403,0.8609011056242626,45252,15084
6,0.8445659292161385,0.8805438461081755,0.8621797200866191,0.8423250660530128,0.8802101888136801,0.8608510082313489,45252,15084
7,0.8441751033794382,0.878759091583791,0.86112,0.8454700854700855,0.8809332977112833,0.8628374547516245,45252,15084
8,0.8449406798996122,0.8795309484933946,0.8618889002021848,0.8465192606667818,0.8728292813251403,0.8594729688253606,45252,15084
9,0.843623740966255,0.8801876150329514,0.8615178986517898,0.846357956004451,0.8806555040969006,0.8631661647243682,45252,15084
