seed,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,n_train,n_test
0,0.9170082485704165,0.8283885714285715,0.870448650206552,0.9357045143638851,0.7557083231033637,0.8361290322580646,26938,9348
1,0.9432902863559798,0.7675087943716021,0.8463689261694249,0.8881868939171319,0.7433595671421545,0.8093452938813763,25993,10293
2,0.9313415685147945,0.7328541073285411,0.8202611071753871,0.921731123388582,0.7600607441154138,0.8331252600915522,26544,9742
3,0.9324683784810813,0.8282862378242839,0.8772951301105748,0.8862754322003998,0.8118065280620489,0.8474080737658832,24781,11505
4,0.9355630234170801,0.7448507240837474,0.8293847827114957,0.9084255957965848,0.7477602718566574,0.8202999237481996,28078,8208
5,0.9341849340272302,0.7592497650175168,0.8376817742581725,0.9083927591881514,0.7510204081632653,0.8222442899702085,28244,8042
6,0.9100904933346308,0.8264192622045504,0.866239088656834,0.9379184418746196,0.834551854860547,0.8832210918469695,27350,8936
7,0.9208758660813455,0.8103039046865547,0.8620587215923157,0.9255876427132304,0.8074759784391844,0.862507040490644,26162,10124
8,0.9146921805339879,0.7982862638803883,0.852534024324766,0.9622970850061092,0.7713726038897439,0.8563218390804598,28362,7924
9,0.9166500199760288,0.8282942238267148,0.8702351602503319,0.9156573763315337,0.798244498155451,0.8529291830909338,26753,9533
